"admin_area_1","admin_area_2","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government","ab Abia State",2020,74896.0240962765,71734.1667565949,0.105,256808.31698861,96303.1188707286,288909.356612186,321010.396235762
"ng Federal Government","ab Abia State",2021,106747.180620628,102240.674960171,0.105,366021.616357411,137258.106134029,411774.318402087,457527.020446764
"ng Federal Government","ab Abia State",2022,134119.160574327,128457.102309275,0.105,459876.426267204,172453.659850201,517360.979550604,574845.532834004
"ng Federal Government","ab Abia State",2023,135890.084115681,130153.263436137,0.105,465948.683101372,174730.756163015,524192.268489044,582435.853876715
"ng Federal Government","ab Abia State",2024,125328.57080007,120037.621564279,0.105,429734.685200118,161150.506950044,483451.520850132,537168.356500147
"ng Federal Government","ad Adamawa State",2020,219019.333038631,209773.07605695,0.105,750987.612283881,281620.354606455,844861.063819366,938734.515354851
"ng Federal Government","ad Adamawa State",2021,447880.392720238,428972.394276936,0.105,1535721.17151143,575895.439316786,1727686.31795036,1919651.46438929
"ng Federal Government","ad Adamawa State",2022,485651.110821746,465148.560148264,0.105,1665231.84533078,624461.941999044,1873385.82599713,2081539.80666348
"ng Federal Government","ad Adamawa State",2023,462047.132649515,442541.062263606,0.105,1584297.00290371,594111.376088891,1782334.12826667,1980371.25362964
"ng Federal Government","ad Adamawa State",2024,491812.431009151,471049.770193752,0.105,1686358.17729363,632384.316485112,1897152.94945534,2107947.72161704
"ng Federal Government","ak Akwa-Ibom State",2020,78889.9244142102,75559.4580837765,0.105,270502.85993992,101438.57247747,304315.71743241,338128.5749249
"ng Federal Government","ak Akwa-Ibom State",2021,92372.5457982117,88472.8887010378,0.105,316732.941549715,118774.853081143,356324.55924343,395916.176937144
"ng Federal Government","ak Akwa-Ibom State",2022,91084.0500251289,87238.7888704156,0.105,312314.864156088,117118.074058533,351354.222175599,390393.58019511
"ng Federal Government","ak Akwa-Ibom State",2023,78342.2998193964,75034.9523509503,0.105,268625.129416402,100734.423531151,302203.270593452,335781.411770503
"ng Federal Government","ak Akwa-Ibom State",2024,78117.4242424243,74819.5702618121,0.105,267854.061537287,100445.273076483,301335.819229448,334817.576921609
"ng Federal Government","an Anambra state",2020,86881.5946327077,83213.7469600523,0.105,297905.214116987,111714.45529387,335143.365881611,372381.517646234
"ng Federal Government","an Anambra state",2021,98217.4965019563,94071.0853146193,0.105,336774.485426337,126290.432034876,378871.296104629,420968.106782921
"ng Federal Government","an Anambra state",2022,102201.090564363,97886.5054815958,0.105,350433.689624113,131412.633609042,394237.900827127,438042.112030141
"ng Federal Government","an Anambra state",2023,91728.8036100091,87856.3231351886,0.105,314525.636823975,117947.113808991,353841.341426972,393157.046029969
"ng Federal Government","an Anambra state",2024,75288.2641345959,72109.8477444301,0.105,258153.25492506,96807.4705968974,290422.411790692,322691.568656325
"ng Federal Government","ba Bauchi State",2020,651951.728607232,624428.527167793,0.105,2235454.1272607,838295.297722762,2514885.89316829,2794317.65907587
"ng Federal Government","ba Bauchi State",2021,536759.358007197,514099.189643971,0.105,1840475.09892542,690178.162097032,2070534.48629109,2300593.87365677
"ng Federal Government","ba Bauchi State",2022,593789.686498864,568721.890162035,0.105,2036024.36678009,763509.137542533,2290527.4126276,2545030.45847511
"ng Federal Government","ba Bauchi State",2023,604379.705547297,578864.834350892,0.105,2072336.10697619,777126.040116073,2331378.12034822,2590420.13372024
"ng Federal Government","ba Bauchi State",2024,602237.987467934,576813.532379868,0.105,2064992.44591993,774372.167219972,2323116.50165992,2581240.55739991
"ng Federal Government","be Benue State",2020,159984.917243041,153230.894036508,0.105,548566.6006507,205712.475244012,617137.425732037,685708.250813375
"ng Federal Government","be Benue State",2021,284101.078901322,272107.290280702,0.105,974144.099204914,365304.037201843,1095912.11160553,1217680.12400614
"ng Federal Government","be Benue State",2022,295721.137864421,283236.789575737,0.105,1013987.70668114,380245.390005426,1140736.17001628,1267484.63335142
"ng Federal Government","be Benue State",2023,252729.190448903,242059.817068743,0.105,866574.1451061,324965.304414788,974895.913244362,1083217.68138262
"ng Federal Government","be Benue State",2024,252965.327497064,242285.985207767,0.105,867383.827043806,325268.935141427,975806.805424281,1084229.78380476
"ng Federal Government","bo Borno State",2020,542518.488211693,519615.188810111,0.105,1860222.3759402,697583.390977575,2092750.17293272,2325277.96992525
"ng Federal Government","bo Borno State",2021,456403.705364617,437135.881430333,0.105,1564946.45552059,586854.920820222,1760564.76246067,1956183.06940074
"ng Federal Government","bo Borno State",2022,426616.017487495,408605.729192557,0.105,1462808.51050935,548553.191441007,1645659.57432302,1828510.63813669
"ng Federal Government","bo Borno State",2023,458581.084140448,439221.338623587,0.105,1572412.39227244,589654.647102166,1768963.9413065,1965515.49034055
"ng Federal Government","bo Borno State",2024,459532.35298169,440132.448105184,0.105,1575674.16421656,590877.811581209,1772633.43474363,1969592.7052707
"ng Federal Government","by Bayelsa State",2020,28844.5482866043,27626.8288173764,0.105,98904.0471662076,37089.0176873278,111267.053061984,123630.058957759
"ng Federal Government","by Bayelsa State",2021,36413.5310677904,34876.2746932408,0.105,124857.063401802,46821.3987756758,140464.196327027,156071.329252253
"ng Federal Government","by Bayelsa State",2022,40267.0993240818,38567.1583047578,0.105,138070.426731033,51776.4100241374,155329.230072412,172588.033413791
"ng Federal Government","by Bayelsa State",2023,41060.1697264709,39326.7479516204,0.105,140789.757666801,52796.1591250504,158388.477375151,175987.197083501
"ng Federal Government","by Bayelsa State",2024,45165.3081639873,43258.5813004396,0.105,154865.721055574,58074.6453958401,174223.93618752,193582.151319467
"ng Federal Government","cr Cross River State",2020,101619.740536787,97329.6980899444,0.105,348440.319162001,130665.11968575,391995.359057251,435550.398952501
"ng Federal Government","cr Cross River State",2021,112485.73042094,107736.962557326,0.105,385698.325955226,144636.87223321,433910.61669963,482122.907444033
"ng Federal Government","cr Cross River State",2022,107340.029512374,102808.495772759,0.105,368054.414866476,138020.405574928,414061.216724785,460068.018583095
"ng Federal Government","cr Cross River State",2023,102177.894886165,97864.2890466378,0.105,350354.154786963,131382.808045111,394148.424135334,437942.693483704
