"admin_area_1","admin_area_2","year","indicator_id","indicator_common_id","indicator_type","survey_value","source","source_detail","survey_type","country_name","iso2_code","iso3_code"
"Afghanistan","Badakhshan",2015,"rh_ancp_w_skp","anc1","percent",0.392,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Badakhshan",2015,"rh_ancn_w_n4p","anc4","percent",0.141,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Badakhshan",2015,"rh_delp_c_dhf","delivery","percent",0.271,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Badghis",2015,"rh_ancp_w_skp","anc1","percent",0.23,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Badghis",2015,"rh_ancn_w_n4p","anc4","percent",0.019,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Badghis",2015,"rh_delp_c_dhf","delivery","percent",0.079,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Baghlan",2015,"rh_ancp_w_skp","anc1","percent",0.503,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Baghlan",2015,"rh_ancn_w_n4p","anc4","percent",0.096,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Baghlan",2015,"rh_delp_c_dhf","delivery","percent",0.303,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Balkh",2015,"rh_ancp_w_skp","anc1","percent",0.858,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Balkh",2015,"rh_ancn_w_n4p","anc4","percent",0.355,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Balkh",2015,"rh_delp_c_dhf","delivery","percent",0.547,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Bamyan",2015,"rh_ancp_w_skp","anc1","percent",0.759,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Bamyan",2015,"rh_ancn_w_n4p","anc4","percent",0.315,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Bamyan",2015,"rh_delp_c_dhf","delivery","percent",0.508,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Dykundi",2015,"rh_ancp_w_skp","anc1","percent",0.462,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Dykundi",2015,"rh_ancn_w_n4p","anc4","percent",0.11,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Dykundi",2015,"rh_delp_c_dhf","delivery","percent",0.287,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Farah",2015,"rh_ancp_w_skp","anc1","percent",0.371,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Farah",2015,"rh_ancn_w_n4p","anc4","percent",0.033,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Farah",2015,"rh_delp_c_dhf","delivery","percent",0.441,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Faryab",2015,"rh_ancp_w_skp","anc1","percent",0.781,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Faryab",2015,"rh_ancn_w_n4p","anc4","percent",0.099,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Faryab",2015,"rh_delp_c_dhf","delivery","percent",0.65,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Ghazni",2015,"rh_ancp_w_skp","anc1","percent",0.444,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Ghazni",2015,"rh_ancn_w_n4p","anc4","percent",0.136,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
"Afghanistan","Ghazni",2015,"rh_delp_c_dhf","delivery","percent",0.68,"DHS Sub-national","AF2015DHS","household","Afghanistan","AF","AFG"
